Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Cut Basis;Overall Cumulative Score
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Raphael Hofmann;38963;;0;198;0;198;39;169;overall_total;198
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;René Erben;25953;;0;211;0;211;24;169;overall_total;211
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;René Schanze;16524;;0;170;0;170;76;169;overall_total;170
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Robert Faltermeier;38472;;0;161;0;161;100;169;overall_total;161
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Robert Meissl;25778;;0;201;0;201;32;169;overall_total;201
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Roberto Di Stefano;38970;;0;201;0;201;35;169;overall_total;201
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Roland Hannemann;16336;;0;226;0;226;10;169;overall_total;226
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Roland Heumos;38388;;0;152;0;152;112;169;overall_total;152
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Sahin Köse;16002;;0;166;0;166;86;169;overall_total;166
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Sebastian Hinterwimmer;7885;;0;165;0;165;89;169;overall_total;165
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Sebastian Tesinski;38569;;0;145;0;145;114;169;overall_total;145
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Selim Fliegner;38673;;0;174;0;174;68;169;overall_total;174
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Sergio Tavares;22116;;0;213;0;213;22;169;overall_total;213
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Stefan Müller;7607;;0;207;0;207;27;169;overall_total;207
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Stephan Scheigenpflug;10080;;0;155;0;155;108;169;overall_total;155
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Albrecht;7641;;0;197;0;197;40;169;overall_total;197
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Auer;16888;;0;162;0;162;95;169;overall_total;162
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Hantschel;38450;;0;155;0;155;110;169;overall_total;155
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Kalkschmied;25672;;0;221;0;221;14;169;overall_total;221
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Vogt;10903;;0;169;0;169;77;169;overall_total;169
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Thomas Wiedemann;7028;;0;221;0;221;15;169;overall_total;221
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Timo Baumann;16024;;0;210;0;210;26;169;overall_total;210
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Tindaro Famà;38730;;0;225;0;225;12;169;overall_total;225
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Tobias Börding;7592;;0;206;0;206;29;169;overall_total;206
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Tobias Wiedemann;25695;;0;174;0;174;65;169;overall_total;174
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Tom Eck;38050;;0;265;0;265;1;169;overall_total;265
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Torsten Fliegner;7418;;0;226;0;226;11;169;overall_total;226
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Walter Lederle;16402;;0;194;0;194;44;169;overall_total;194
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Werner Kraus;25302;;0;171;0;171;73;169;overall_total;171
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Werner Nägele;7321;;0;191;0;191;50;169;overall_total;191
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alberto Salazar;38113;;1;208;0;379;42;344;overall_total;379
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Egger;38541;;1;196;0;387;35;344;overall_total;387
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Koller;7879;;1;217;0;407;21;344;overall_total;407
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Wiedemann;25849;;1;169;0;364;57;344;overall_total;364
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alfred Zimmermann;7573;;1;189;0;352;69;344;overall_total;352
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andre Michow;16965;;1;215;0;410;17;344;overall_total;410
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Feuerlein;16270;;1;213;0;440;6;344;overall_total;440
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Heß;7030;;1;167;0;348;76;344;overall_total;348
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Hölzl;38305;;1;157;0;326;97;344;overall_total;326
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Schöllhorn;38568;;1;196;0;411;16;344;overall_total;411
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;André Knoch;25629;;1;225;0;427;9;344;overall_total;427
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Anton Mutz;25005;;1;195;0;378;44;344;overall_total;378
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Bernd Wiemken;25203;;1;211;0;383;39;344;overall_total;383
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Brandon Alexander Lucas;38648;;1;181;0;382;41;344;overall_total;382
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Bruno Gärtner;25649;;1;188;0;350;70;344;overall_total;350
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Carlo Luft;38652;;1;150;0;383;40;344;overall_total;383
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christian Müller;38996;;1;180;0;343;81;344;overall_total;343
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christian Schrempf;7646;;1;192;0;370;50;344;overall_total;370
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christoph Heiming;38918;;1;183;0;344;79;344;overall_total;344
