1;10;11;12;13;14;15;16;17;18;19;20;21;22;23;3;4;5;6;7;8;9;batch_id;created_by;currency;date_created;date_updated;form_id;gpnf_entry_nested_form_field;gpnf_entry_parent;gpnf_entry_parent_form;gv_revision_changed;gv_revision_date;gv_revision_date_gmt;gv_revision_parent_id;gv_revision_user_id;id;ingested_at_utc;ip;is_approved;is_fulfilled;is_read;is_starred;payment_amount;payment_date;payment_method;payment_status;post_id;source_date_updated;source_entry_id;source_form_id;source_id;source_url;status;submission_speeds;transaction_id;transaction_type;user_agent
7418;194;183;12;190;166;188;176;2202;;;;;;;Torsten Fliegner;226;168;170;200;177;164;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37388;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37388;124;;;active;;;;GravityView Import
25672;180;200;12;172;168;167;202;2197;;;;;;;Thomas Kalkschmied;221;146;188;199;167;187;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37389;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37389;124;;;active;;;;GravityView Import
38314;245;193;12;188;159;199;171;2196;;;;;;;Markus Hanauer;215;113;154;168;180;211;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37390;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37390;124;;;active;;;;GravityView Import
38510;196;161;12;183;208;232;175;2195;;;;;;;Kilian Kral;173;149;185;201;159;173;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37391;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37391;124;;;active;;;;GravityView Import
7641;199;166;12;173;191;198;134;2183;;;;;;;Thomas Albrecht;197;149;181;204;223;168;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37392;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37392;124;;;active;;;;GravityView Import
38575;187;134;12;154;222;137;171;2179;;;;;;;Gregor Arapow;173;183;224;168;212;214;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37393;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37393;124;;;active;;;;GravityView Import
25629;212;225;12;176;158;187;189;2178;;;;;;;André Knoch;202;153;128;161;214;173;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37394;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37394;124;;;active;;;;GravityView Import
25408;199;183;12;231;173;149;200;2171;;;;;;;Eduard Bolender;178;189;182;180;152;155;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37395;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37395;124;;;active;;;;GravityView Import
7028;178;132;12;182;208;161;204;2157;;;;;;;Thomas Wiedemann;221;183;167;171;197;153;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37396;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37396;124;;;active;;;;GravityView Import
7317;231;155;12;166;163;169;163;2157;;;;;;;Michael Ring;157;180;154;204;216;199;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37397;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37397;124;;;active;;;;GravityView Import
